34		69		35
37		91		44
44		0		39
67		77		6
43		0		17
93		28		14
51		41		18
75		93		1
79		44		22
38		7		36
100		19		17
37		2		17
80		28		42
70		48		2
22		43		43
93		12		38
45		32		25
40		20		20
100		75		19
54		55		24
32		12		32
39		79		14
76		83		50
23		31		18
68		61		43
52		31		46
35		68		35
55		4		20
31		44		19
59		55		32
94		21		14
76		46		38
10		84		12
22		46		43
68		89		9
98		18		34
19		8		12
22		22		8
55		85		12
93		0		17
91		60		42
30		35		20
48		88		48
65		51		5
39		19		6
14		66		2
23		46		45
96		82		6
88		78		27
1		3		3

