94		.00		70.00


.00
	1114.00
2		VJB		458.00
3		UJB		1838.00
4		DWD		629.00
5		WEJ		1239.00
6		XHQ		820.00
7		XIJ		64.00
8		ABE		90.00
9		RCA		685.00
10		XNS		455.00
11		EKY		618.00
12		JQG		1259.00
13		TJM		269.00
14		EBH		44.00
15		CLY		910.00
16		RLU		863.00
17		MYH		341.00
18		ULP		829.00
19		DSD		1561.00
20		ILK		1867.00
21		XVK		1877.00
22		CJK		1199.00
23		YGG		493.00
24		NXG		547.00
25		DCM		1075.00
26		ABP		292.00
27		LOQ		18.00
28		WIT		611.00
29		JAN		951.00
30		HLE		1084.00
31		TQA		942.00
32		OXY		517.00
33		JWC		1934.00
34		XFN		985.00
35		OQW		1897.00
36		UWQ		837.00
37		EYC		1949.00
38		UXB		1431.00
39		TMW		1942.00
40		YPP		1833.00
41		PDY		1771.00
42		KPM		229.00
43		WWI		903.00
44		HOV		67.00
45		SRI		869.00
46		AIL		901.00
47		BBA		725.00
48		BAO		480.00
49		DEU		1495.00
