0		NLX		265.00
1		EML		808.00
2		HKV		1890.00
3		LWJ		497.00
4		IAA		324.00
5		MGK		398.00
6		HPJ		693.00
7		RVC		188.00
8		MMN		1458.00
9		EIQ		251.00
10		FPW		151.00
11		VFP		521.00
12		ATA		823.00
13		SMF		533.00
14		STM		1460.00
15		YDY		1461.00
16		LQK		1619.00
17		KHY		852.00
18		MNP		1033.00
19		GNK		342.00
20		TGF		431.00
21		DHA		97.00
22		TQV		1588.00
23		NMN		204.00
24		XLE		826.00
25		OLY		292.00
26		ULU		499.00
27		ONU		1883.00
28		TFK		1690.00
29		SSN		930.00
30		HLW		381.00
31		NSJ		361.00
32		TJE		1333.00
33		HXE		1816.00
34		LTI		694.00
35		CVO		1361.00
36		DHS		69.00
37		JJF		670.00
38		XBN		824.00
39		XEC		1932.00
40		RID		1827.00
41		LIB		1714.00
42		JPA		692.00
43		BAD		302.00
44		KCC		1474.00
45		ROE		1767.00
46		ISL		1582.00
47		PAO		220.00
48		VUC		1923.00
49		OMI		1586.00
