0		UQO		1246.00
1		WEL		1042.00
2		WFY		1727.00
3		CMB		967.00
4		RTT		747.00
5		CXE		1585.00
6		GJS		1415.00
7		UDV		333.00
8		XYT		794.00
9		NHL		963.00
10		HGP		592.00
11		TBE		580.00
12		MBN		844.00
13		DGM		1188.00
14		WSQ		531.00
15		GBV		919.00
16		WMH		444.00
17		KXL		1507.00
18		XYO		761.00
19		DWN		1467.00
20		MLB		575.00
21		LGN		749.00
22		BJH		171.00
23		BYA		601.00
24		NNL		493.00
25		MSA		669.00
26		RNB		1600.00
27		FAY		291.00
28		ECO		325.00
29		VUH		539.00
30		IDS		423.00
31		DUX		200.00
32		VVL		1413.00
33		GNG		998.00
34		DIH		908.00
35		KPP		1773.00
36		PEU		1406.00
37		WKL		887.00
38		FUF		799.00
39		XXW		337.00
40		VBN		606.00
41		FJA		1851.00
42		VSH		165.00
43		IVC		1187.00
44		BJK		1311.00
45		XSR		1924.00
46		VQA		1995.00
47		YEH		939.00
48		FHN		404.00
49		RWI		884.00
